Exercise ID,Source Type,Status,Category,Pattern Category,Pattern Signal,Text,Question,Option 1,Option 2,Option 3,Option 4,Correct Index,Explanation,Quality Score,Created At,Last Used At,Times Used,Exercise Owner,Exercise Summary,Exercise Attempts
84,curated,active,communication,Sinneskommunikation,Känsel,Min bedömning utifrån uppsatta mål och överenskommelser,Vilket sinne använder personen för att bedöma om någon annan har gjort ett bra jobb?,Intern,Känsel,Extern,Till,1,"Kinestetiskt mönster – personen känner av stämning, energi eller intuition. Nyckelord: ""märks"", ""känns"", ""humör"", ""engagemang"".",,3/9/2026 8:21pm,,0,,,
85,curated,active,communication,Sinneskommunikation,Syn,Det ser jag på resultatet,Vilket sinne använder personen för att bedöma om någon annan har gjort ett bra jobb?,Intern,Extern,Syn,Till,2,"Visuellt mönster – personen observerar med ögonen: resultat, kroppsspråk, yttre tecken. Nyckelord: ""ser"", ""synliggörs"", ""observerar"".",,3/9/2026 8:21pm,,0,,,
86,curated,active,communication,Sinneskommunikation,Syn,De ser ut att må bra tillsammans,Vilket sinne använder personen för att bedöma om någon annan har gjort ett bra jobb?,Syn,Intern,Extern,Till,0,"Visuellt mönster – personen observerar med ögonen: resultat, kroppsspråk, yttre tecken. Nyckelord: ""ser"", ""synliggörs"", ""observerar"".",,3/9/2026 8:21pm,,0,,,
87,curated,active,leadership,Motivationsriktning,Till,Tydliga uppgifter. Många bollar. Intressanta människor och ämnen.,Personen beskriver hur det känns när det är lätt på jobbet. Rör sig personen MOT något (Till) eller BORT FRÅN problem (Ifrån)?,Intern,Till,Extern,Syn,1,"Till-mönster – personen rör sig mot mål, möjligheter och positiva tillstånd. Nyckelord: ""roligt"", ""flow"", ""energi"", ""inspiration"", ""kommunikation"".",,3/9/2026 8:21pm,,0,,,
88,curated,active,leadership,Motivationsriktning,Till,God stämning,Personen beskriver hur det känns när det är lätt på jobbet. Rör sig personen MOT något (Till) eller BORT FRÅN problem (Ifrån)?,Intern,Extern,Till,Syn,2,"Till-mönster – personen rör sig mot mål, möjligheter och positiva tillstånd. Nyckelord: ""roligt"", ""flow"", ""energi"", ""inspiration"", ""kommunikation"".",,3/9/2026 8:21pm,,0,,,
89,curated,active,leadership,Motivationsriktning,Ifrån,The pussy is activated. Djupa andetag. Närvaro!,Personen beskriver hur det känns när det är lätt på jobbet. Rör sig personen MOT något (Till) eller BORT FRÅN problem (Ifrån)?,Intern,Extern,Ifrån,Syn,2,"Ifrån-mönster – personen motiveras av att undvika problem och hinder. Nyckelord: ""fungerar"", ""ingen stress"", ""tydligt"", ""tar ansvar"", ""inte svårt"".",,3/9/2026 8:21pm,,0,,,
90,curated,active,leadership,Motivationsriktning,Ifrån,Det är inte lätt på jobbet,Personen beskriver hur det känns när det är lätt på jobbet. Rör sig personen MOT något (Till) eller BORT FRÅN problem (Ifrån)?,Intern,Extern,Syn,Ifrån,3,"Ifrån-mönster – personen motiveras av att undvika problem och hinder. Nyckelord: ""fungerar"", ""ingen stress"", ""tydligt"", ""tar ansvar"", ""inte svårt"".",,3/9/2026 8:21pm,,0,,,
91,curated,active,leadership,Motivationsriktning,Ifrån,Vårt samarbete fungerar,Personen beskriver hur det känns när det är lätt på jobbet. Rör sig personen MOT något (Till) eller BORT FRÅN problem (Ifrån)?,Intern,Ifrån,Extern,Syn,1,"Ifrån-mönster – personen motiveras av att undvika problem och hinder. Nyckelord: ""fungerar"", ""ingen stress"", ""tydligt"", ""tar ansvar"", ""inte svårt"".",,3/9/2026 8:21pm,,0,,,
92,curated,active,leadership,Motivationsriktning,Ifrån,"När det finns känslan av sammanhang, och koll på läget",Personen beskriver hur det känns när det är lätt på jobbet. Rör sig personen MOT något (Till) eller BORT FRÅN problem (Ifrån)?,Intern,Extern,Syn,Ifrån,3,"Ifrån-mönster – personen motiveras av att undvika problem och hinder. Nyckelord: ""fungerar"", ""ingen stress"", ""tydligt"", ""tar ansvar"", ""inte svårt"".",,3/9/2026 8:21pm,,0,,,
93,curated,active,leadership,Motivationsriktning,Till,"Energifyllt, glatt, lättsamt, inspirerande, energigivande",Personen beskriver hur det känns när det är lätt på jobbet. Rör sig personen MOT något (Till) eller BORT FRÅN problem (Ifrån)?,Intern,Extern,Syn,Till,3,"Till-mönster – personen rör sig mot mål, möjligheter och positiva tillstånd. Nyckelord: ""roligt"", ""flow"", ""energi"", ""inspiration"", ""kommunikation"".",,3/9/2026 8:21pm,,0,,,
94,curated,active,leadership,Motivationsriktning,Till,"Enkelt, glatt, lustfyllt",Personen beskriver hur det känns när det är lätt på jobbet. Rör sig personen MOT något (Till) eller BORT FRÅN problem (Ifrån)?,Intern,Extern,Till,Syn,2,"Till-mönster – personen rör sig mot mål, möjligheter och positiva tillstånd. Nyckelord: ""roligt"", ""flow"", ""energi"", ""inspiration"", ""kommunikation"".",,3/9/2026 8:21pm,,0,,,
95,curated,active,leadership,Motivationsriktning,Ifrån,När uppgifterna är tydliga och rimlig tid finns.,Personen beskriver hur det känns när det är lätt på jobbet. Rör sig personen MOT något (Till) eller BORT FRÅN problem (Ifrån)?,Intern,Extern,Ifrån,Syn,2,"Ifrån-mönster – personen motiveras av att undvika problem och hinder. Nyckelord: ""fungerar"", ""ingen stress"", ""tydligt"", ""tar ansvar"", ""inte svårt"".",,3/9/2026 8:21pm,,0,,,
96,curated,active,leadership,Motivationsriktning,Ifrån,Alla förstår vad de ska göra och kan planera sin tid på ett bra sätt,Personen beskriver hur det känns när det är lätt på jobbet. Rör sig personen MOT något (Till) eller BORT FRÅN problem (Ifrån)?,Intern,Extern,Ifrån,Syn,2,"Ifrån-mönster – personen motiveras av att undvika problem och hinder. Nyckelord: ""fungerar"", ""ingen stress"", ""tydligt"", ""tar ansvar"", ""inte svårt"".",,3/9/2026 8:21pm,,0,,,
97,curated,active,leadership,Motivationsriktning,Ifrån,När det finns arbetsglädje hos alla även när det är svårt.,Personen beskriver hur det känns när det är lätt på jobbet. Rör sig personen MOT något (Till) eller BORT FRÅN problem (Ifrån)?,Intern,Extern,Syn,Ifrån,3,"Ifrån-mönster – personen motiveras av att undvika problem och hinder. Nyckelord: ""fungerar"", ""ingen stress"", ""tydligt"", ""tar ansvar"", ""inte svårt"".",,3/9/2026 8:21pm,,0,,,
98,curated,active,leadership,Motivationsriktning,Ifrån,"Bra kommunikation, lätt att prata med kollegor, lätt att uttrycka sig, att få respons och iterera fram en slutsats. Eller bara att kunna resonera med en kollega förutsättningslöst.",Personen beskriver hur det känns när det är lätt på jobbet. Rör sig personen MOT något (Till) eller BORT FRÅN problem (Ifrån)?,Intern,Ifrån,Extern,Syn,1,"Ifrån-mönster – personen motiveras av att undvika problem och hinder. Nyckelord: ""fungerar"", ""ingen stress"", ""tydligt"", ""tar ansvar"", ""inte svårt"".",,3/9/2026 8:21pm,,0,,,
99,curated,active,leadership,Motivationsriktning,Ifrån,Medvind. Uppgifter löses snabbt. Ingen stress. Proaktivt,Personen beskriver hur det känns när det är lätt på jobbet. Rör sig personen MOT något (Till) eller BORT FRÅN problem (Ifrån)?,Intern,Extern,Ifrån,Syn,2,"Ifrån-mönster – personen motiveras av att undvika problem och hinder. Nyckelord: ""fungerar"", ""ingen stress"", ""tydligt"", ""tar ansvar"", ""inte svårt"".",,3/9/2026 8:21pm,,0,,,
100,curated,active,leadership,Motivationsriktning,Till,Känslan av att man lyckas är en stor del av arbetsdagen.,Personen beskriver hur det känns när det är lätt på jobbet. Rör sig personen MOT något (Till) eller BORT FRÅN problem (Ifrån)?,Intern,Extern,Syn,Till,3,"Till-mönster – personen rör sig mot mål, möjligheter och positiva tillstånd. Nyckelord: ""roligt"", ""flow"", ""energi"", ""inspiration"", ""kommunikation"".",,3/9/2026 8:21pm,,0,,,
101,curated,active,leadership,Motivationsriktning,Ifrån,Blir lätt lite tråkigt,Personen beskriver hur det känns när det är lätt på jobbet. Rör sig personen MOT något (Till) eller BORT FRÅN problem (Ifrån)?,Intern,Extern,Ifrån,Syn,2,"Ifrån-mönster – personen motiveras av att undvika problem och hinder. Nyckelord: ""fungerar"", ""ingen stress"", ""tydligt"", ""tar ansvar"", ""inte svårt"".",,3/9/2026 8:21pm,,0,,,
102,curated,active,leadership,Motivationsriktning,Till,Glassigt,Personen beskriver hur det känns när det är lätt på jobbet. Rör sig personen MOT något (Till) eller BORT FRÅN problem (Ifrån)?,Intern,Extern,Syn,Till,3,"Till-mönster – personen rör sig mot mål, möjligheter och positiva tillstånd. Nyckelord: ""roligt"", ""flow"", ""energi"", ""inspiration"", ""kommunikation"".",,3/9/2026 8:21pm,,0,,,
103,curated,active,leadership,Motivationsriktning,Ifrån,"Tydligt, lätt att göra rätt, våga vara sig själv, delaktighet  finns",Personen beskriver hur det känns när det är lätt på jobbet. Rör sig personen MOT något (Till) eller BORT FRÅN problem (Ifrån)?,Intern,Extern,Syn,Ifrån,3,"Ifrån-mönster – personen motiveras av att undvika problem och hinder. Nyckelord: ""fungerar"", ""ingen stress"", ""tydligt"", ""tar ansvar"", ""inte svårt"".",,3/9/2026 8:21pm,,0,,,
104,curated,active,leadership,Motivationsriktning,Till,Glatt med bra magkänsla,Personen beskriver hur det känns när det är lätt på jobbet. Rör sig personen MOT något (Till) eller BORT FRÅN problem (Ifrån)?,Intern,Extern,Syn,Till,3,"Till-mönster – personen rör sig mot mål, möjligheter och positiva tillstånd. Nyckelord: ""roligt"", ""flow"", ""energi"", ""inspiration"", ""kommunikation"".",,3/9/2026 8:21pm,,0,,,
105,curated,active,leadership,Motivationsriktning,Ifrån,Alla tar sitt ansvar för samma mål,Personen beskriver hur det känns när det är lätt på jobbet. Rör sig personen MOT något (Till) eller BORT FRÅN problem (Ifrån)?,Intern,Ifrån,Extern,Syn,1,"Ifrån-mönster – personen motiveras av att undvika problem och hinder. Nyckelord: ""fungerar"", ""ingen stress"", ""tydligt"", ""tar ansvar"", ""inte svårt"".",,3/9/2026 8:21pm,,0,,,
106,curated,active,leadership,Motivationsriktning,Ifrån,"Gott om tid att tänka och undersöka, lugna djurägare, fall som är lagom komplicerade och som är utvecklande men inte omöjliga.",Personen beskriver hur det känns när det är lätt på jobbet. Rör sig personen MOT något (Till) eller BORT FRÅN problem (Ifrån)?,Intern,Extern,Ifrån,Syn,2,"Ifrån-mönster – personen motiveras av att undvika problem och hinder. Nyckelord: ""fungerar"", ""ingen stress"", ""tydligt"", ""tar ansvar"", ""inte svårt"".",,3/9/2026 8:21pm,,0,,,
107,curated,active,leadership,Motivationsriktning,Till,Närmiljö har lätt att kommunicera om mål och vägen framåt,Personen beskriver hur det känns när det är lätt på jobbet. Rör sig personen MOT något (Till) eller BORT FRÅN problem (Ifrån)?,Intern,Till,Extern,Syn,1,"Till-mönster – personen rör sig mot mål, möjligheter och positiva tillstånd. Nyckelord: ""roligt"", ""flow"", ""energi"", ""inspiration"", ""kommunikation"".",,3/9/2026 8:21pm,,0,,,
108,curated,active,leadership,Motivationsriktning,Till,"Kommunikation, samarbete",Personen beskriver hur det känns när det är lätt på jobbet. Rör sig personen MOT något (Till) eller BORT FRÅN problem (Ifrån)?,Intern,Extern,Till,Syn,2,"Till-mönster – personen rör sig mot mål, möjligheter och positiva tillstånd. Nyckelord: ""roligt"", ""flow"", ""energi"", ""inspiration"", ""kommunikation"".",,3/9/2026 8:21pm,,0,,,
109,curated,active,leadership,Motivationsriktning,Till,Då har jag flow och skjuter inte upp saker. Det är också lugnt i sinnet efter arbetstid,Personen beskriver hur det känns när det är lätt på jobbet. Rör sig personen MOT något (Till) eller BORT FRÅN problem (Ifrån)?,Intern,Till,Extern,Syn,1,"Till-mönster – personen rör sig mot mål, möjligheter och positiva tillstånd. Nyckelord: ""roligt"", ""flow"", ""energi"", ""inspiration"", ""kommunikation"".",,3/9/2026 8:21pm,,0,,,
110,curated,active,leadership,Motivationsriktning,Till,"Då flyter det på, vi skrattar, pippar och har roligt.",Personen beskriver hur det känns när det är lätt på jobbet. Rör sig personen MOT något (Till) eller BORT FRÅN problem (Ifrån)?,Intern,Till,Extern,Syn,1,"Till-mönster – personen rör sig mot mål, möjligheter och positiva tillstånd. Nyckelord: ""roligt"", ""flow"", ""energi"", ""inspiration"", ""kommunikation"".",,3/9/2026 8:21pm,,0,,,
111,curated,active,communication,Sinneskommunikation,Känsel,Jag känner att du förstår,Vilket sinnessystem signalerar den här meningen tydligast?,Intern,Extern,Alternativ,Känsel,3,"""Känner"" är ett kinestetiskt predikatsord – meningen signalerar den kinestetiska kanalen.",,3/9/2026 8:21pm,,0,,,
112,curated,active,communication,Sinneskommunikation,Hörsel,Jag hör att du förstår,Vilket sinnessystem signalerar den här meningen tydligast?,Intern,Extern,Alternativ,Hörsel,3,"""Hör"" är ett auditivt predikatsord – meningen signalerar den auditiva kanalen.",,3/9/2026 8:21pm,,0,,,
113,curated,active,communication,Sinneskommunikation,Syn,Jag ser på dig att du förstår,Vilket sinnessystem signalerar den här meningen tydligast?,Intern,Syn,Extern,Alternativ,1,"""Ser"" är ett visuellt predikatsord – meningen signalerar den visuella kanalen.",,3/9/2026 8:21pm,,0,,,
114,curated,active,leadership,Tidsorientering,Dåtid,"För att säkerställa att vi lyckas, behöver vi lära oss av historien.",Personen väljer den mening som känns mest trovärdig. Vilket tidsmönster signalerar meningen?,Dåtid,Till,Ifrån,Intern,0,Dåtids-mönster – meningen refererar till historien och lärdomar från det förflutna.,,3/9/2026 8:21pm,,0,,,
115,curated,active,leadership,Tidsorientering,Framtid,"För att säkerställa att vi lyckas, behöver vi lära oss vad framtiden har att ge",Personen väljer den mening som känns mest trovärdig. Vilket tidsmönster signalerar meningen?,Till,Ifrån,Intern,Framtid,3,"Framtids-mönster – meningen refererar till vad framtiden har att ge, framåtblickande.",,3/9/2026 8:21pm,,0,,,
